cidade,nome_do_bar,endereco,imagem_prato,pagina_url,lat,lng
Belo Horizonte,Buteco Tô D’Boa,"Av. Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111918/butecotodeboa_escondidinhotodeboa_bh_2026_rodneycosta_unibh-3587.jpg,https://comidadibuteco.com.br/buteco/buteco-to-dboa/,-19.8444309,-43.982123
Belo Horizonte,Buteco’s Bar,"R. Ernesto Braga, 2 | Jardim Atlântico, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111920/butecosbar_nuhderochavei_bh_2026_rodneycosta_unibh-5132.jpg,https://comidadibuteco.com.br/buteco/3145-revision-v1/,-19.8478449,-43.9821879
Belo Horizonte,Butiquim 325,"Avenida Francisco Sá, 325 |Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111922/butiquim325_quitutiarabe_bh_2026_vicentealexandre_unibh-3630.jpg,https://comidadibuteco.com.br/buteco/butiquim-325/,-19.9255133,-43.9592582
Belo Horizonte,Butiquim On Cê Tá?,"Av. Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112024/butiquimonceta_linguadobradacomchampignonepuredecouveflor_bh_2026_rodneycosta_unibh-4256.jpg,https://comidadibuteco.com.br/buteco/butiquim-on-ce-ta/,-19.8341449,-43.9566096
Belo Horizonte,Café Palhares,"Rua dos Tupinambás, 638 | Centro, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112026/cafepalhares_picadimdecarne_bh_2026_rodneycosta_unibh-4797.jpg,https://comidadibuteco.com.br/buteco/3149-revision-v1/,-19.917295,-43.940194
Belo Horizonte,Camisola Bar,"R. Luther King, 242 | Cidade Nova, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112028/camisolabar_frangoraiz_bh_2026_vicentealexandre_unibh-3575.jpg,https://comidadibuteco.com.br/buteco/camisola-bar/,-19.8915452,-43.9247094
Belo Horizonte,Cantina Arte Quintal,"R. Realengo, 150 | Caiçara, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112030/cantinaartequintal_porcoatoladonalama_juliacristine_unibh-3312.jpg,https://comidadibuteco.com.br/buteco/cantina-arte-quintal/,-19.9011739,-43.9757543
Belo Horizonte,Cantinho da Baiana,"R. Itaité, 422 | São Geraldo, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112031/cantinhodabaiana_espiritodeporco_bh_2026_rodneycosta_unibh-4418.jpg,https://comidadibuteco.com.br/buteco/cantinho-da-baiana/,-19.8984414,-43.8998884
Belo Horizonte,Casa Mojubá,"Rua Mármore, 817 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112135/barcasamojuba_saborancestral_bh_2026_pauloti_unibh-4980.jpg,https://comidadibuteco.com.br/buteco/casa-mojuba/,-19.9170564,-43.9147551
Belo Horizonte,Chapa Mágica,"Av. Waldomiro Lobo, 305 | Guarani, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112137/chapamagica_girodoaioporo_bh_2026_kaiqueamorim_unibh-3799.jpg,https://comidadibuteco.com.br/buteco/chapa-magica/,-19.8453855,-43.9216797
Belo Horizonte,Choperia América Norte Sul,"R. Chico Rei, 190 | Estrela do Oriente, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112138/choperiaamericanortesul_fonduedebuteco_bh_2026_julianunes_unibh-3674.jpg,https://comidadibuteco.com.br/buteco/choperia-america-norte-sul/,-19.9621417,-43.9852231
Belo Horizonte,Chopp da Esquina,"R. Garret, 263 | Nova Granada, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112140/choppdaesquina_sabornalata_bh_2026_rodneycosta_unibh-5096.jpg,https://comidadibuteco.com.br/buteco/chopp-da-esquina/,-19.9427185,-43.9656847
Belo Horizonte,Cipoeiro Bar,"Rua Desembargador José Satyro, 451 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112242/cipoeiro_linguicaestouradacipoeiro_bh_2026_rodneycosta_unibh-3437.jpg,https://comidadibuteco.com.br/buteco/cipoeiro-bar/,-19.8888492,-43.9957135
Belo Horizonte,Comida & Prosa,"Av. Francisco Sá, 306 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112243/comidaeprosa_rabadaembriagada_ludmylasandrin_unibh-3894.jpg,https://comidadibuteco.com.br/buteco/comida-prosa/,-19.9252991,-43.9594829
Belo Horizonte,Companhia do Dino,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112245/campanhiadodino_pescocodeboidodino_rodneycosta_unibh-3209.jpg,https://comidadibuteco.com.br/buteco/companhia-do-dino/,-19.837225,-43.933254999999996
Belo Horizonte,Conectados Bar,"Av. Francisco Sá, 280 | Prado, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112247/conectadosbar_couvefloracervejeira_bh_2026_rodneycosta_unibh-5113.jpg,https://comidadibuteco.com.br/buteco/conectados-bar/,-19.9251529,-43.959448699999996
Belo Horizonte,COSMOS,"R. Vicente Risola, 1305 | Santa Inês, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112249/cosmos_firmamento_bh_2026_julianunes_unibh-3756.jpg,https://comidadibuteco.com.br/buteco/cosmos/,-19.8805434,-43.9101174
Belo Horizonte,Deck Boi na Brasa,"R. Desembargador José Satyro, 302  | Manacás, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112350/deckboibabrasa_glugluabaiana_bh_2026_pauloti_unibh-4994.jpg,https://comidadibuteco.com.br/buteco/deck-boi-na-brasa/,-19.887636099999998,-43.9964471
Belo Horizonte,Dona Dora,"R. Rio de Janeiro, 1205 | Centro, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112352/donadora_giragosto_bh_2026_pauloti_unibh-4112.jpg,https://comidadibuteco.com.br/buteco/dona-dora/,-19.9249056,-43.94012
