cidade;nome_do_bar;endereco;imagem_prato;pagina_url
Belo Horizonte;Beco Restaurante;R. dos Tamoios, 232 | Centro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111807/becorestaurante_verdequetequerorabo_bh_2026_pauloti_unibh-4495.jpg;https://comidadibuteco.com.br/buteco/beco-restaurante/
Belo Horizonte;Bella Bar e Restaurante;Rua dos Odontólogos, 422  | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111809/bellabar_bellomurro_bh_2026_pauloti_unibh-4781.jpg;https://comidadibuteco.com.br/buteco/bella-bar-e-restaurante/
Belo Horizonte;Boi Major;R. Major Lopes, 7 | São Pedro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111810/boimajor_nacifcorrea_bh_2026_rodneycosta_unibh-4323.jpg;https://comidadibuteco.com.br/buteco/boi-major/
Belo Horizonte;Boteco 86;R. Jacarina, 86 | Padre Eustáquio, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111812/boteco86_tremdeminas_bh_2026_pauloti_unibh-4902.jpg;https://comidadibuteco.com.br/buteco/boteco-86/
Belo Horizonte;Botequim Buritis;Rua Vitório Magnavacca, 39 | Buritis, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111914/botequimburitis_boibumba_bh_2026_pauloti_unibh-4077.jpg;https://comidadibuteco.com.br/buteco/botequim-buritis/
Belo Horizonte;Buteco do Lili;R. Líbero Badaró, 493 | Dona Clara, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111916/botecodolele_saboresdavomaria_isabelaaraujo_unibh-3258.jpg;https://comidadibuteco.com.br/buteco/3151-autosave-v1/
Belo Horizonte;Buteco Tô D’Boa;Av. Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111918/butecotodeboa_escondidinhotodeboa_bh_2026_rodneycosta_unibh-3587.jpg;https://comidadibuteco.com.br/buteco/buteco-to-dboa/
Belo Horizonte;Buteco’s Bar;R. Ernesto Braga, 2 | Jardim Atlântico, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111920/butecosbar_nuhderochavei_bh_2026_rodneycosta_unibh-5132.jpg;https://comidadibuteco.com.br/buteco/3145-revision-v1/
Belo Horizonte;Butiquim 325;Avenida Francisco Sá, 325 |Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111922/butiquim325_quitutiarabe_bh_2026_vicentealexandre_unibh-3630.jpg;https://comidadibuteco.com.br/buteco/butiquim-325/
Belo Horizonte;Butiquim On Cê Tá?;Av. Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112024/butiquimonceta_linguadobradacomchampignonepuredecouveflor_bh_2026_rodneycosta_unibh-4256.jpg;https://comidadibuteco.com.br/buteco/butiquim-on-ce-ta/
Belo Horizonte;Café Palhares;Rua dos Tupinambás, 638 | Centro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112026/cafepalhares_picadimdecarne_bh_2026_rodneycosta_unibh-4797.jpg;https://comidadibuteco.com.br/buteco/3149-revision-v1/
Belo Horizonte;Camisola Bar;R. Luther King, 242 | Cidade Nova, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112028/camisolabar_frangoraiz_bh_2026_vicentealexandre_unibh-3575.jpg;https://comidadibuteco.com.br/buteco/camisola-bar/
Belo Horizonte;Cantina Arte Quintal;R. Realengo, 150 | Caiçara, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112030/cantinaartequintal_porcoatoladonalama_juliacristine_unibh-3312.jpg;https://comidadibuteco.com.br/buteco/cantina-arte-quintal/
Belo Horizonte;Cantinho da Baiana;R. Itaité, 422 | São Geraldo, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112031/cantinhodabaiana_espiritodeporco_bh_2026_rodneycosta_unibh-4418.jpg;https://comidadibuteco.com.br/buteco/cantinho-da-baiana/
Belo Horizonte;Casa Mojubá;Rua Mármore, 817 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112135/barcasamojuba_saborancestral_bh_2026_pauloti_unibh-4980.jpg;https://comidadibuteco.com.br/buteco/casa-mojuba/
Belo Horizonte;Chapa Mágica;Av. Waldomiro Lobo, 305 | Guarani, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112137/chapamagica_girodoaioporo_bh_2026_kaiqueamorim_unibh-3799.jpg;https://comidadibuteco.com.br/buteco/chapa-magica/
Belo Horizonte;Choperia América Norte Sul;R. Chico Rei, 190 | Estrela do Oriente, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112138/choperiaamericanortesul_fonduedebuteco_bh_2026_julianunes_unibh-3674.jpg;https://comidadibuteco.com.br/buteco/choperia-america-norte-sul/
Belo Horizonte;Chopp da Esquina;R. Garret, 263 | Nova Granada, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112140/choppdaesquina_sabornalata_bh_2026_rodneycosta_unibh-5096.jpg;https://comidadibuteco.com.br/buteco/chopp-da-esquina/
Belo Horizonte;Cipoeiro Bar;Rua Desembargador José Satyro, 451 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112242/cipoeiro_linguicaestouradacipoeiro_bh_2026_rodneycosta_unibh-3437.jpg;https://comidadibuteco.com.br/buteco/cipoeiro-bar/
Belo Horizonte;Comida & Prosa;Av. Francisco Sá, 306 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112243/comidaeprosa_rabadaembriagada_ludmylasandrin_unibh-3894.jpg;https://comidadibuteco.com.br/buteco/comida-prosa/
Belo Horizonte;Companhia do Dino;Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112245/campanhiadodino_pescocodeboidodino_rodneycosta_unibh-3209.jpg;https://comidadibuteco.com.br/buteco/companhia-do-dino/
Belo Horizonte;Conectados Bar;Av. Francisco Sá, 280 | Prado, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112247/conectadosbar_couvefloracervejeira_bh_2026_rodneycosta_unibh-5113.jpg;https://comidadibuteco.com.br/buteco/conectados-bar/
